,A,B,C,D,E,S
4145,4.64,2.31,4.55,2.86,5.92,1641.84
4146,3.78,4.61,4.43,6.38,6.28,798.92
4147,1.1,19.4,5.17,4.66,8.58,2610.48
4148,3.0,13.76,4.46,3.12,7.42,3238.92
4149,2.72,5.01,5.08,21.46,4.35,4259.22
4150,2.79,21.03,5.8,5.23,2.49,2343.06
4151,2.65,4.71,4.05,1.09,6.5,2529.71
4152,3.59,13.45,4.14,6.36,7.65,3705.66
4153,1.4,15.54,4.37,12.36,4.77,654.86
4154,4.25,27.53,5.63,20.99,6.12,4968.57
4155,2.6,5.18,5.16,9.29,3.32,4212.34
4156,5.0,4.19,4.51,22.27,8.59,2539.2
4157,2.52,24.74,5.42,11.68,5.18,3757.43
4158,4.21,20.39,4.4,1.35,3.8,2024.65
4159,1.8,16.73,4.61,12.02,3.47,1570.66
4160,1.1,17.89,4.53,16.15,6.49,1064.56
4161,3.71,18.36,4.64,8.86,8.01,2404.87
4162,3.33,2.79,5.61,3.68,4.44,3707.25
4163,1.21,19.98,5.2,8.26,7.86,1082.89
4164,1.4,15.53,5.88,7.99,6.04,586.03
4165,3.35,19.74,5.65,11.32,8.19,1877.9
4166,1.62,9.08,5.69,20.93,6.74,2435.3
4167,3.94,24.18,4.99,19.77,2.66,1441.62
4168,4.83,26.63,4.34,22.73,5.77,953.9
4169,5.0,24.74,5.85,11.11,2.23,4379.46
4170,3.47,20.41,5.48,21.26,3.96,1406.73
4171,1.53,27.61,5.14,16.71,2.82,4503.13
4172,4.64,10.26,4.14,13.02,8.9,4961.36
4173,2.27,24.61,5.96,2.32,8.03,3889.06
4174,2.2,28.11,4.27,17.84,4.32,1417.04
4175,4.94,9.11,4.46,22.16,7.82,3932.42
4176,2.79,19.4,4.79,16.82,4.73,2964.37
4177,1.03,15.38,5.25,14.97,2.05,4546.76
4178,1.87,19.3,5.05,4.01,4.15,3528.82
4179,1.64,18.99,5.98,1.52,8.6,2242.01
4180,3.44,24.51,5.91,7.19,7.99,3561.08
4181,1.89,25.86,5.2,19.04,5.23,4841.1
4182,3.39,17.15,4.11,10.87,7.17,1809.12
4183,2.8,14.05,4.99,7.14,8.27,2960.3
4184,1.6,24.72,4.65,7.52,8.48,4425.93
4185,4.2,16.57,4.77,3.24,8.82,2170.48
4186,4.11,25.86,4.81,7.14,7.5,2795.27
4187,1.25,26.66,5.09,16.06,2.69,2373.89
4188,1.49,8.27,4.25,17.27,6.2,2655.91
4189,1.8,20.32,4.28,12.66,4.02,3917.48
4190,3.42,29.5,4.16,16.82,2.51,2829.67
4191,3.95,26.58,4.68,12.25,7.36,4272.67
4192,4.5,13.69,4.41,16.04,6.32,1823.61
4193,3.58,12.14,5.63,21.01,3.64,548.02
4194,4.55,21.32,4.44,7.12,7.1,3129.73
4195,3.88,10.9,4.95,18.7,8.88,4709.18
4196,3.65,13.87,4.48,1.56,2.02,1779.11
4197,4.66,28.49,4.94,19.78,6.36,2175.26
4198,4.2,6.43,4.24,8.56,8.41,651.42
4199,3.21,11.3,5.66,5.21,2.01,2518.5
4200,2.26,13.99,4.65,19.43,2.76,1303.17
4201,3.99,29.13,4.86,21.18,2.74,3718.07
4202,2.25,18.28,4.08,13.55,4.89,4445.37
4203,1.56,10.03,5.58,19.51,7.67,1867.85
4204,4.15,23.18,5.06,2.26,5.62,1996.04
4205,1.58,15.1,4.54,10.02,6.18,1607.81
4206,4.01,13.17,4.91,6.93,4.6,2509.94
4207,2.52,28.1,5.51,15.75,2.5,1760.03
4208,4.8,25.18,4.01,16.89,2.7,2197.77
4209,4.55,29.51,5.93,9.23,7.49,2982.63
4210,3.95,21.28,5.39,21.2,7.0,980.93
4211,2.73,19.82,5.12,4.17,4.49,4865.03
4212,1.68,3.02,5.88,20.81,6.8,2205.65
4213,2.55,27.18,5.3,9.29,6.38,2212.55
4214,4.56,28.75,5.89,3.99,4.1,3826.5
4215,3.08,14.73,4.42,8.69,2.39,2533.85
4216,2.83,19.19,5.9,15.19,7.93,4998.59
4217,3.59,28.44,4.04,7.72,4.66,4480.54
4218,1.53,23.74,5.01,8.08,6.04,3230.36
4219,1.11,16.02,4.07,16.23,8.11,2014.98
4220,1.85,8.65,4.15,12.43,7.52,4559.52
4221,1.42,20.02,5.57,11.29,5.84,2544.2
4222,4.0,7.6,4.67,4.49,4.47,2079.88
4223,1.3,6.38,5.39,22.16,8.17,2759.12
4224,4.59,20.95,4.85,21.94,2.76,1843.49
4225,4.88,4.24,5.0,3.99,3.78,4018.82
4226,1.7,17.94,4.34,16.98,8.86,3682.15
4227,2.64,13.81,5.62,14.51,3.87,1320.91
4228,3.67,25.54,5.7,21.13,3.19,2959.57
4229,3.23,8.68,5.17,14.19,6.55,4880.17
4230,1.21,6.01,4.5,13.46,4.91,1901.03
4231,4.21,4.49,5.81,22.96,2.98,3523.25
4232,1.79,5.64,4.46,3.02,7.92,4029.23
4233,4.88,12.04,4.69,16.08,3.11,660.32
4234,2.03,2.19,4.87,9.95,8.78,4603.29
4235,4.94,19.43,5.05,12.97,5.71,4429.79
4236,4.01,19.59,4.83,19.06,3.41,3486.66
4237,2.81,23.34,4.01,1.23,3.03,3565.82
4238,2.28,19.7,5.39,19.92,3.68,3850.91
4239,3.54,4.21,5.5,11.78,5.16,1213.4
4240,2.07,23.08,5.48,6.82,7.25,4426.55
4241,2.3,28.33,5.83,7.3,7.47,3457.65
4242,4.54,14.51,5.0,14.61,2.76,2497.41
4243,2.7,27.62,5.57,19.45,7.33,4884.17
4244,4.3,8.07,5.93,12.06,2.4,2342.17
4245,1.73,24.42,5.08,20.46,4.39,2431.38
4246,1.15,25.77,5.56,5.47,5.37,4697.31
4247,2.6,4.01,4.89,2.12,3.16,4059.59
4248,3.92,18.58,5.98,13.14,7.95,1546.95
4249,2.41,11.9,5.56,14.12,4.69,2566.95
4250,4.87,20.72,5.54,10.32,5.18,4212.14
4251,3.33,17.29,4.08,13.5,8.09,3431.56
4252,1.85,24.82,5.21,18.68,5.62,2942.5
4253,3.26,11.43,4.75,22.46,2.35,1384.89
4254,4.49,22.72,4.12,15.87,2.11,1925.36
4255,2.41,9.24,5.38,7.87,6.8,1072.93
4256,2.4,20.46,4.45,17.57,2.75,2860.98
4257,1.01,29.27,5.25,10.78,5.24,1652.59
4258,3.77,3.41,5.37,8.02,8.38,2900.19
4259,1.13,12.92,5.73,19.48,5.87,2675.59
4260,2.39,13.38,5.24,4.34,7.06,2011.62
4261,1.18,18.22,4.28,14.83,7.3,4572.89
4262,4.69,10.8,5.69,1.85,3.62,3382.71
4263,1.76,15.14,4.03,10.16,6.33,3104.27
4264,4.73,29.74,5.26,19.53,2.14,1858.31
4265,2.32,25.32,5.23,12.79,7.21,2164.03
4266,3.11,22.86,4.26,8.08,6.07,2598.75
4267,4.26,2.99,5.64,3.13,8.5,904.68
4268,1.4,6.25,4.15,4.37,4.53,3696.06
4269,2.21,3.79,5.68,7.58,3.91,1961.56
4270,4.09,26.47,5.49,10.91,4.11,2653.7
4271,2.02,16.66,5.45,12.36,7.15,1788.63
4272,1.68,26.22,5.21,9.38,7.01,4705.09
4273,4.19,10.4,4.59,7.36,8.85,987.31
4274,3.04,12.82,4.95,21.63,6.49,4963.88
4275,1.65,8.55,5.68,3.46,2.05,2140.61
4276,1.89,12.52,5.28,8.22,6.15,3102.52
4277,2.99,17.77,4.06,1.44,6.23,4606.92
4278,2.67,29.11,5.37,19.12,3.91,4551.97
4279,4.03,25.54,5.52,7.7,4.46,1881.61
4280,1.53,11.99,5.13,6.58,7.61,517.4
4281,4.15,19.0,5.89,20.0,6.72,3310.97
4282,1.48,18.32,5.44,16.24,3.06,2702.03
4283,4.99,4.51,4.33,14.27,6.77,4180.39
4284,3.21,27.05,5.77,22.49,7.21,4465.03
4285,4.93,25.23,5.16,21.42,2.44,2230.28
4286,2.95,9.01,4.49,3.02,5.18,4639.37
4287,3.78,23.33,4.94,10.69,6.65,4235.25
4288,2.59,12.32,4.59,15.19,3.93,2523.76
4289,2.13,28.33,5.17,1.49,8.49,560.61
4290,1.64,21.36,4.19,21.1,4.51,1772.73
4291,1.6,15.49,5.14,16.98,5.62,663.8
4292,1.55,13.83,5.23,9.49,6.42,2589.47
4293,2.67,21.27,4.18,13.14,6.97,4342.96
4294,4.6,13.94,4.55,2.93,3.22,4190.71
4295,1.43,12.29,4.03,9.2,6.99,4728.64
4296,2.9,12.41,4.68,8.07,3.89,4659.92
4297,4.07,26.71,5.12,18.83,7.18,1852.18
4298,1.82,15.67,5.65,10.19,7.96,3943.03
4299,4.55,24.82,4.21,8.21,3.92,3011.89
4300,2.17,24.53,4.86,15.39,3.41,4715.91
4301,2.39,19.12,4.42,15.39,8.75,1718.91
4302,4.37,29.68,5.45,4.24,7.21,1771.66
4303,4.86,13.45,4.78,2.87,3.37,1385.55
4304,4.69,25.18,5.24,20.78,7.95,3682.38
4305,2.11,11.61,4.47,5.53,5.82,4802.7
4306,3.72,23.52,4.13,10.0,8.93,4725.31
4307,2.3,22.48,4.73,14.68,3.14,1701.41
4308,4.85,15.71,4.32,21.91,8.6,4976.72
4309,4.87,18.42,5.41,16.11,4.66,2509.06
4310,4.81,5.69,5.54,8.96,8.79,1947.26
4311,2.68,27.29,5.2,7.15,2.25,2051.76
4312,3.87,3.2,4.92,7.68,8.44,1463.69
4313,3.04,7.79,4.78,12.93,3.2,3454.37
4314,2.23,15.9,5.82,8.29,7.07,571.64
4315,1.88,17.55,5.26,18.57,2.05,4579.75
4316,2.64,11.62,6.0,14.5,2.54,1250.91
4317,4.27,10.41,5.89,10.0,4.63,2306.94
4318,2.23,20.75,4.42,4.06,3.7,2624.72
4319,2.37,4.7,5.92,5.61,8.89,1170.58
4320,1.28,24.82,5.54,7.3,3.35,4905.1
4321,4.07,22.5,5.43,17.79,7.82,1206.97
4322,2.28,15.14,5.5,15.44,8.76,3529.53
4323,2.19,24.11,4.17,13.34,6.68,1236.07
4324,1.02,29.74,4.32,4.55,7.77,3942.1
4325,4.24,8.04,4.87,12.18,4.13,4763.55
4326,1.7,14.11,5.18,17.04,3.93,3352.51
4327,4.85,23.28,5.86,12.94,8.9,1612.2
4328,3.69,19.91,5.4,7.98,8.98,1268.44
4329,2.18,3.12,5.2,21.55,8.0,2343.77
4330,3.07,16.65,5.38,22.81,2.17,4567.73
4331,1.16,27.79,5.51,2.32,3.22,865.43
4332,2.17,21.69,5.3,19.52,7.23,4967.83
4333,3.88,27.31,5.94,13.53,8.12,1767.71
4334,4.02,13.15,4.2,7.71,2.98,4118.68
4335,3.99,26.82,5.29,19.05,5.58,1292.34
4336,2.15,12.37,5.66,8.17,8.41,3759.85
4337,4.26,27.5,4.78,16.1,5.72,994.82
4338,2.89,2.72,5.54,14.3,7.39,1718.41
4339,4.04,22.67,4.93,7.55,7.54,1515.11
4340,2.41,19.93,5.78,6.12,4.42,3063.82
4341,2.96,7.77,4.36,17.72,2.62,4624.38
4342,3.44,27.24,5.57,1.02,6.75,3015.53
4343,1.06,18.48,5.09,17.04,3.32,3951.16
4344,3.83,22.87,5.73,6.45,4.55,3424.1
4345,2.62,12.73,4.26,2.28,5.46,4527.39
4346,2.43,26.91,4.93,22.23,2.18,1888.35
4347,1.13,11.29,5.44,13.97,6.77,1610.15
4348,3.77,5.7,4.85,2.46,2.02,4926.57
4349,1.05,12.29,5.05,3.37,5.11,1447.55
4350,2.38,3.96,4.55,12.2,5.08,4081.15
4351,3.58,12.76,5.83,18.08,2.47,1875.21
4352,1.14,18.62,5.85,4.77,8.95,1429.14
4353,1.79,14.9,4.71,8.97,4.53,2334.57
4354,3.95,24.85,5.07,10.69,7.42,637.43
4355,2.4,26.24,4.9,6.45,7.74,4424.62
4356,5.0,9.91,4.46,22.06,5.78,3919.75
4357,3.78,13.58,5.52,4.04,6.97,2029.14
4358,1.98,3.3,4.04,18.57,6.72,3755.95
4359,1.33,28.97,5.37,7.71,4.37,3645.7
4360,2.2,23.97,4.85,12.5,4.37,638.27
4361,3.55,3.3,5.75,22.65,4.82,4790.49
4362,4.68,9.25,5.25,18.86,8.87,514.39
4363,4.69,10.98,4.24,13.56,2.63,4774.56
4364,2.64,24.13,5.02,10.21,7.3,898.07
4365,2.17,29.88,4.64,19.53,6.57,1377.0
4366,4.19,11.6,4.5,1.77,3.39,1601.64
4367,2.07,4.31,4.76,19.2,6.34,793.54
4368,4.06,17.76,5.37,10.46,6.74,3297.68
4369,4.44,9.29,4.95,1.38,4.35,1973.88
4370,4.68,4.09,5.54,10.18,6.38,2458.4
4371,1.6,25.47,5.83,13.23,4.28,2247.55
4372,1.21,11.29,5.42,19.78,2.05,1659.7
4373,4.7,27.33,5.93,14.78,6.41,3904.53
4374,2.79,2.85,4.85,11.45,8.03,630.3
4375,1.52,11.59,5.3,16.31,6.71,4441.66
4376,4.89,11.41,5.7,11.79,8.65,4638.26
4377,1.96,5.24,4.51,13.26,8.63,2424.08
4378,2.76,8.47,5.29,16.4,8.19,3172.86
4379,3.74,23.45,4.37,12.04,5.76,4881.73
4380,2.29,18.11,4.06,12.94,6.1,4334.35
4381,4.97,6.27,5.54,2.31,6.48,3752.14
4382,1.33,29.04,4.39,13.23,5.04,4910.96
4383,1.54,27.18,4.92,2.69,2.75,4787.08
4384,4.19,3.24,4.66,13.31,4.45,707.85
4385,3.71,3.13,5.52,10.95,8.44,1001.1
4386,2.75,9.2,4.49,9.08,8.77,1496.69
4387,2.29,28.82,5.18,5.98,3.8,2749.79
4388,3.17,26.06,5.39,5.45,3.53,4686.13
4389,1.86,8.01,4.81,7.9,6.99,4312.16
4390,2.88,12.84,5.38,11.99,4.01,4324.62
4391,4.94,12.11,4.79,4.88,2.32,3661.28
4392,2.97,21.47,5.12,19.24,7.15,3293.75
4393,4.53,10.2,5.63,22.43,5.87,1984.98
4394,4.2,24.64,4.27,10.41,2.12,1166.56
4395,3.45,22.46,5.41,17.32,4.46,3201.11
4396,2.48,28.61,4.04,17.8,5.78,2871.79
4397,2.76,22.58,4.4,9.43,4.9,2971.09
4398,4.91,29.52,5.63,10.04,5.02,4314.26
4399,4.38,27.68,4.68,9.59,2.81,4706.02
4400,2.34,25.99,4.76,16.05,6.8,4062.01
4401,3.89,23.24,5.48,12.95,6.98,2077.03
4402,1.9,21.42,5.91,18.91,7.33,1823.73
4403,3.8,16.54,5.87,17.97,3.79,3709.3
4404,4.68,16.38,5.97,12.38,8.42,2351.81
4405,3.53,4.66,4.14,1.59,8.05,3717.39
4406,4.23,24.33,5.39,21.47,8.18,1715.27
4407,4.46,27.1,4.01,16.72,4.06,2340.03
4408,2.92,8.72,5.08,17.88,2.16,4052.7
4409,2.08,25.57,4.06,9.21,3.9,3351.3
4410,1.08,27.59,4.7,20.2,2.71,4387.18
4411,1.8,7.57,5.05,22.21,4.09,2014.35
4412,2.71,16.75,4.88,5.06,6.9,1710.69
4413,3.2,6.04,4.59,1.04,5.01,1796.15
4414,3.91,25.89,4.98,20.63,8.79,561.43
4415,4.04,7.3,4.74,20.74,5.02,643.64
4416,2.08,29.97,4.22,15.1,4.87,3781.69
4417,4.54,23.01,4.7,20.61,5.49,1656.71
4418,4.91,12.65,4.24,15.11,2.86,2901.75
4419,2.16,3.85,5.64,8.07,6.81,1178.8
4420,3.05,12.94,4.26,16.02,4.77,4911.59
4421,4.9,15.1,5.72,9.22,4.82,2927.41
4422,3.28,16.35,5.09,17.82,7.59,511.0
4423,4.55,28.15,4.54,14.68,5.33,509.1
4424,3.5,4.63,4.53,20.36,5.4,4444.43
4425,3.88,14.21,4.31,6.18,7.8,842.19
4426,2.2,3.87,4.1,15.58,4.18,3884.63
4427,2.37,6.24,5.65,17.74,3.67,3190.8
4428,4.03,14.76,5.95,17.21,6.86,2015.86
4429,1.54,22.36,5.35,10.79,5.93,2029.67
4430,1.74,25.57,4.36,16.16,4.23,657.26
4431,2.73,12.04,5.2,12.72,4.43,2470.53
4432,4.03,18.8,5.9,3.34,7.79,3938.7
4433,4.59,27.62,5.11,16.67,8.38,1272.08
4434,2.58,6.6,5.01,18.21,3.35,4526.57
4435,2.17,20.98,4.53,10.18,2.88,4441.01
4436,3.95,27.3,5.79,8.25,8.95,4645.85
4437,2.98,10.01,5.84,9.78,6.03,3103.71
4438,4.09,10.79,5.88,5.42,6.66,2188.37
4439,4.41,29.64,4.16,13.44,7.04,4431.81
4440,1.96,29.05,5.62,21.17,7.38,655.67
4441,4.37,7.38,5.41,17.13,3.75,4165.23
4442,2.45,29.77,4.29,20.38,2.83,3575.24
4443,4.77,5.45,4.89,15.04,5.65,4550.7
4444,1.52,18.85,4.1,5.51,4.35,1213.52
4445,3.08,20.25,4.53,13.65,2.33,751.64
4446,4.68,12.21,4.15,17.44,5.63,3324.43
4447,2.55,10.68,4.16,10.79,4.77,2969.87
4448,4.2,16.93,5.88,3.82,8.3,2334.73
4449,1.95,3.27,4.64,17.67,7.31,2769.08
4450,4.96,7.02,5.13,7.05,5.04,4226.42
4451,2.04,18.6,5.46,4.97,6.08,2529.42
4452,4.35,23.55,5.36,5.63,7.18,4056.65
4453,1.89,5.38,5.34,22.89,7.53,3224.96
4454,1.42,29.84,4.66,22.24,4.85,3250.46
4455,1.31,7.36,5.29,11.72,5.61,4333.8
4456,1.28,13.81,4.31,17.55,8.48,2580.1
4457,4.22,26.92,5.57,4.84,4.28,681.73
4458,4.29,26.02,4.54,1.7,5.81,843.85
4459,2.66,8.07,4.65,8.76,3.29,2465.11
4460,2.05,25.63,5.29,18.02,7.06,2843.19
4461,2.76,11.58,5.4,2.33,2.38,4454.33
4462,1.89,23.04,5.39,13.03,6.48,1483.29
4463,2.71,20.41,4.46,1.46,8.68,2331.69
4464,3.28,27.8,4.71,14.97,4.11,1130.42
4465,1.43,4.48,4.64,22.01,4.66,811.93
4466,2.95,2.37,4.16,7.79,3.46,1549.85
4467,3.04,2.04,4.27,4.78,8.14,3981.98
4468,1.31,4.88,5.06,16.29,8.7,2659.79
4469,2.82,18.14,4.64,6.76,8.18,4319.57
4470,1.75,14.36,5.58,18.84,6.99,2892.56
4471,3.55,9.54,5.16,20.85,4.18,2312.93
4472,1.55,2.43,4.2,3.99,5.83,2871.3
4473,2.09,19.12,5.08,19.29,7.57,664.11
4474,3.3,28.28,5.35,8.19,5.82,792.67
4475,4.54,5.03,5.78,22.04,7.89,4217.29
4476,4.14,14.67,4.94,21.59,8.49,727.64
4477,2.9,4.26,5.0,5.72,2.34,2594.63
4478,4.3,11.98,4.36,15.08,7.55,954.41
4479,2.0,5.09,5.98,9.36,4.21,1289.16
4480,4.82,25.48,5.92,17.74,7.38,1173.2
4481,4.29,19.41,4.13,1.65,5.19,4548.24
4482,1.24,16.67,5.49,6.02,2.45,2354.06
4483,2.2,12.99,4.58,2.42,6.17,1449.62
4484,1.42,10.57,4.65,9.67,7.69,1852.78
4485,4.22,18.49,4.3,7.62,5.61,981.33
4486,1.06,6.92,5.51,21.94,2.38,4418.87
4487,3.28,26.19,4.01,19.29,6.28,1795.67
4488,4.79,29.41,5.42,17.83,3.0,4148.18
4489,4.6,17.18,5.72,4.65,3.48,3982.39
4490,4.95,10.37,5.46,22.0,8.52,4987.5
4491,1.74,26.06,5.84,9.72,5.35,1241.03
4492,2.01,2.38,5.23,10.84,8.07,1827.88
4493,3.36,5.0,5.64,4.08,5.29,3826.73
4494,4.53,13.12,5.57,14.77,8.68,2045.8
4495,2.29,13.44,4.45,16.72,5.66,1153.16
4496,4.74,7.81,5.2,6.61,3.13,4612.82
4497,2.34,5.71,5.05,1.52,4.67,3531.79
4498,3.62,15.85,4.92,5.6,2.27,2590.16
4499,3.27,17.12,5.98,1.69,6.16,3165.88
4500,3.9,18.78,5.04,15.61,6.35,830.49
4501,4.36,25.08,5.6,14.7,7.95,3387.5
4502,3.85,8.81,4.11,17.35,7.28,2407.06
4503,1.95,24.83,5.32,11.26,3.05,504.36
4504,2.21,11.1,5.88,3.83,8.72,2954.19
4505,4.62,19.6,5.53,5.89,8.54,1272.63
4506,4.81,7.45,5.47,19.75,6.42,1985.48
4507,1.96,6.62,5.33,10.72,2.24,4719.61
4508,2.49,9.24,5.69,4.95,6.53,2799.61
4509,1.33,17.65,4.88,19.11,6.55,1429.65
4510,3.73,13.58,5.9,14.75,5.94,1842.16
4511,2.72,23.16,5.27,20.12,2.01,4843.25
4512,3.66,16.96,4.85,11.25,7.66,4164.59
4513,4.07,11.21,4.8,14.19,2.35,2137.05
4514,2.52,10.43,5.81,1.15,4.84,845.48
4515,3.9,21.21,4.53,8.3,3.71,2094.44
4516,1.79,15.01,5.65,14.16,4.36,4980.57
4517,3.09,6.79,5.13,14.93,3.89,567.94
4518,1.23,15.58,5.46,21.39,3.5,4171.29
4519,4.9,26.0,5.74,12.0,7.24,4603.81
4520,2.08,23.33,5.02,8.68,5.89,2508.83
4521,2.33,2.18,4.95,17.22,6.21,2900.97
4522,2.31,9.51,5.57,5.17,6.33,2045.71
4523,1.65,6.64,4.44,10.48,4.21,895.02
4524,4.96,27.32,4.58,9.98,3.92,1144.98
4525,2.04,18.31,5.79,15.43,4.81,1557.42
4526,4.54,24.45,5.91,16.58,2.74,1225.83
4527,4.69,4.24,5.84,21.14,7.94,3470.09
4528,1.56,16.08,4.03,9.43,4.93,677.65
4529,4.28,15.85,5.57,12.05,6.69,993.17
4530,3.23,2.45,4.2,13.55,4.02,3463.28
4531,1.55,25.61,4.25,3.26,3.96,4939.96
4532,2.67,15.46,5.62,11.25,4.29,2325.38
4533,4.75,2.76,5.16,11.36,8.16,3910.99
4534,3.32,24.58,4.84,17.05,7.43,554.82
4535,1.14,12.29,4.77,20.29,5.97,4992.04
4536,2.2,2.49,4.57,3.5,4.85,3361.76
4537,2.17,26.11,4.66,8.72,5.62,566.93
4538,2.06,7.78,4.62,13.04,5.24,1349.62
4539,4.16,14.97,5.84,7.28,5.0,570.66
4540,2.96,9.41,4.61,10.05,2.97,3721.96
4541,1.21,9.32,5.69,6.08,4.69,2853.78
4542,1.18,11.07,4.93,22.63,5.36,2304.14
4543,3.43,22.96,4.33,4.51,2.55,2464.97
4544,1.43,19.2,4.92,3.09,3.59,4716.88
4545,1.03,2.52,4.34,12.92,7.27,4026.89
4546,4.68,9.01,4.59,18.31,2.18,1131.51
4547,2.34,11.34,5.05,4.1,4.29,3567.67
4548,1.36,21.25,5.65,22.77,3.85,766.51
4549,4.19,5.11,5.7,15.62,2.41,3958.21
4550,2.1,20.63,5.97,16.91,8.47,2716.13
4551,1.63,26.29,4.11,12.11,2.01,4160.18
4552,4.62,27.5,4.2,19.05,5.37,3186.79
4553,4.05,22.68,5.33,8.23,2.82,1148.52
4554,3.39,28.4,5.5,21.45,6.94,1687.65
4555,3.56,21.72,4.39,17.04,7.93,3679.04
4556,2.77,9.39,4.72,13.48,3.24,3231.9
4557,3.38,10.21,4.59,2.57,3.33,3548.41
4558,1.72,15.39,5.33,3.54,5.42,4721.93
4559,4.49,3.45,4.38,8.9,4.84,1078.57
4560,3.63,9.18,4.87,9.06,6.79,4058.39
4561,3.26,6.51,5.02,17.94,8.98,1999.6
4562,4.0,21.98,4.59,6.0,6.1,4572.09
4563,1.33,20.76,4.44,12.93,6.0,3728.39
4564,4.39,18.17,4.23,3.07,6.09,4179.79
4565,3.42,15.09,4.96,22.29,4.43,871.59
4566,2.45,29.56,5.74,16.32,6.95,4923.73
4567,1.5,17.07,5.64,20.8,4.59,4337.84
4568,1.46,10.32,5.03,21.99,5.46,508.9
4569,1.32,13.62,5.39,2.51,5.77,4789.95
4570,3.56,12.98,4.92,1.12,5.94,3816.8
4571,3.31,15.26,4.84,1.36,7.44,4394.65
4572,4.2,3.56,5.47,14.61,3.35,3540.05
4573,3.28,28.12,4.86,11.47,7.96,3827.7
4574,1.85,6.09,5.14,5.57,7.05,1055.69
4575,1.2,8.08,5.64,3.93,8.94,2948.99
4576,4.96,29.6,5.65,20.62,7.21,1562.63
4577,2.25,3.72,5.45,8.55,6.65,1458.35
4578,2.52,9.73,5.19,19.0,5.19,3551.99
4579,2.9,21.2,5.1,1.41,8.69,4382.05
4580,3.39,12.58,5.21,2.94,8.83,4422.23
4581,4.93,3.85,5.29,16.04,8.22,1012.88
4582,1.45,14.85,5.19,21.02,3.31,1422.38
4583,2.08,2.73,4.02,6.63,6.84,3563.31
4584,4.97,19.72,5.35,10.64,7.3,622.72
4585,2.48,26.0,4.33,19.04,3.8,3291.08
4586,3.77,10.93,5.01,12.52,8.86,4508.79
4587,3.64,11.43,5.94,1.39,4.38,2527.79
4588,4.0,25.62,4.03,4.51,3.91,2380.74
4589,3.2,12.59,5.22,15.14,3.26,1710.38
4590,2.7,15.04,5.55,4.5,4.69,1913.61
4591,4.81,23.5,5.22,18.98,7.46,3901.72
4592,3.5,29.96,5.37,9.98,4.76,3300.49
4593,1.44,21.79,4.12,11.09,8.19,2138.38
4594,3.4,7.88,5.34,15.33,4.73,3240.27
4595,2.08,19.88,4.98,18.04,2.11,3366.36
4596,3.95,5.64,5.79,6.49,7.56,1383.49
4597,1.92,8.01,5.28,8.07,5.06,4744.21
4598,2.73,29.97,5.42,16.07,8.92,4657.72
4599,2.37,23.39,5.78,7.24,8.21,3644.54
4600,3.23,24.47,4.31,11.1,7.43,4783.49
4601,2.0,5.72,5.22,22.34,5.04,4634.09
4602,3.65,16.14,5.37,12.57,4.51,4889.43
4603,3.27,10.75,5.12,16.69,7.22,682.94
4604,2.05,29.98,4.11,9.36,7.17,620.35
4605,3.32,6.57,5.46,19.15,8.48,3330.64
4606,3.21,22.88,4.92,3.06,5.49,1045.4
4607,4.71,3.04,4.62,11.5,3.23,3586.25
4608,4.4,19.05,4.05,4.68,7.17,1867.72
4609,2.82,7.43,5.37,1.54,4.59,3443.27
4610,1.2,19.41,4.9,14.3,6.65,2832.08
4611,3.37,27.84,5.89,16.26,5.16,4127.63
4612,3.86,10.94,6.0,12.33,8.02,2066.09
4613,2.4,5.51,5.62,7.16,7.57,3707.69
4614,2.69,21.27,4.08,22.62,5.29,1117.79
4615,3.07,21.03,4.61,1.12,7.62,4799.59
4616,3.62,11.84,4.1,16.22,7.81,2155.4
4617,4.17,27.49,4.79,11.55,6.43,1374.57
4618,3.73,12.87,5.55,12.76,2.93,3749.51
4619,1.38,7.73,5.46,14.38,3.78,3452.75
4620,4.36,3.55,5.92,4.63,4.59,1605.95
4621,4.25,14.31,4.36,2.66,3.78,4065.04
4622,4.0,5.27,5.94,14.66,5.73,1122.21
4623,4.65,8.95,5.36,2.34,4.11,1005.43
4624,1.22,27.91,5.87,11.72,7.97,3096.98
4625,4.06,24.16,4.81,5.56,8.07,1721.43
4626,2.22,13.81,4.42,5.09,6.36,1916.9
4627,1.14,3.87,5.43,19.44,5.47,3288.72
4628,1.12,13.94,5.93,22.27,4.69,4665.35
4629,1.95,16.61,5.99,9.56,2.01,2864.4
4630,2.94,23.56,5.16,17.34,3.43,2865.21
4631,3.44,27.0,4.72,21.88,8.27,3482.1
4632,1.91,19.3,4.49,15.26,5.49,4443.32
4633,3.3,13.1,5.46,10.7,4.71,977.31
4634,2.13,3.0,5.96,22.54,8.69,4870.22
4635,1.78,21.53,5.73,22.29,2.25,1263.39
4636,4.15,2.03,5.45,1.31,2.99,2170.5
4637,3.64,22.61,4.01,9.19,4.33,3608.12
4638,4.99,29.77,4.23,21.83,4.87,4124.44
4639,4.59,23.66,4.22,9.41,7.56,3380.86
4640,1.72,13.15,5.07,16.02,3.89,2629.82
4641,2.71,5.28,5.15,16.94,4.25,4231.99
4642,4.55,6.05,6.0,19.87,6.16,2468.97
4643,3.39,16.61,5.42,15.25,8.51,3363.89
4644,4.85,25.01,4.56,14.88,3.66,1819.05
4645,3.64,20.22,4.07,13.57,5.77,4627.27
